,model_name,features,scaling,RMSE_train,R2_train,RMSE_validate,R2_validate,RMSE_difference
0,Linear Regression,f1,standard,217948,0.44,225105,0.45,7157
1,Generalized Linear Model,f1,standard,226771,0.4,233481,0.41,6710
2,Gradient Boosting Regression,f1,standard,188429,0.58,212389,0.51,23960
3,Decision Tree Regression,f1,standard,201457,0.52,215210,0.49,13753
4,Random Forest Regression,f1,standard,198444,0.54,211951,0.51,13507
5,LassoLars Regression,f1,standard,217948,0.44,225105,0.45,7157
6,Linear Regression,f2,standard,263656,0.18,269192,0.21,5536
7,Generalized Linear Model,f2,standard,263490,0.18,270591,0.2,7101
8,Gradient Boosting Regression,f2,standard,237291,0.34,240502,0.37,3211
9,Decision Tree Regression,f2,standard,237496,0.34,240324,0.37,2828
10,Random Forest Regression,f2,standard,237456,0.34,240240,0.37,2784
11,LassoLars Regression,f2,standard,263656,0.18,269193,0.21,5537
12,Linear Regression,f3,standard,214248,0.46,220689,0.47,6441
13,Generalized Linear Model,f3,standard,224556,0.41,230778,0.42,6222
14,Gradient Boosting Regression,f3,standard,184620,0.6,205911,0.54,21291
15,Decision Tree Regression,f3,standard,199933,0.53,213439,0.5,13506
16,Random Forest Regression,f3,standard,196129,0.55,209098,0.52,12969
17,LassoLars Regression,f3,standard,214248,0.46,220688,0.47,6440
18,Linear Regression,f4,standard,216886,0.45,222042,0.46,5156
19,Generalized Linear Model,f4,standard,224346,0.41,230705,0.42,6359
20,Gradient Boosting Regression,f4,standard,189470,0.58,209838,0.52,20368
21,Decision Tree Regression,f4,standard,201317,0.52,211214,0.51,9897
22,Random Forest Regression,f4,standard,198840,0.53,209466,0.52,10626
23,LassoLars Regression,f4,standard,216886,0.45,222041,0.46,5155
24,Linear Regression,f5,standard,211411,0.47,218940,0.48,7529
25,Generalized Linear Model,f5,standard,219537,0.43,227045,0.44,7508
26,Gradient Boosting Regression,f5,standard,178672,0.62,207579,0.53,28907
27,Decision Tree Regression,f5,standard,196939,0.54,212307,0.51,15368
28,Random Forest Regression,f5,standard,192780,0.56,209102,0.52,16322
29,LassoLars Regression,f5,standard,211411,0.47,218939,0.48,7528
30,Linear Regression,f6,standard,213574,0.46,219978,0.47,6404
31,Generalized Linear Model,f6,standard,219419,0.43,227016,0.44,7597
32,Gradient Boosting Regression,f6,standard,182284,0.61,209979,0.52,27695
33,Decision Tree Regression,f6,standard,198446,0.54,212409,0.51,13963
34,Random Forest Regression,f6,standard,194706,0.55,209138,0.52,14432
35,LassoLars Regression,f6,standard,213574,0.46,219978,0.47,6404
36,Linear Regression,f7,standard,218669,0.44,225160,0.45,6491
37,Generalized Linear Model,f7,standard,221892,0.42,230919,0.42,9027
38,Gradient Boosting Regression,f7,standard,187546,0.59,214259,0.5,26713
39,Decision Tree Regression,f7,standard,199577,0.53,217166,0.48,17589
40,Random Forest Regression,f7,standard,197320,0.54,213477,0.5,16157
41,LassoLars Regression,f7,standard,218669,0.44,225160,0.45,6491
42,Linear Regression,f8,standard,209790,0.48,217101,0.49,7311
43,Generalized Linear Model,f8,standard,214941,0.46,221194,0.47,6253
